,Date,BTC-CAD,ETH-CAD,BNB-CAD,XRP-CAD,ADA-CAD,SOL-CAD,DOGE-CAD,DOT-CAD,MATIC-CAD,SHIB-CAD,AVAX-CAD,UNI-CAD,ETC-CAD,LTC-CAD,ATOM-CAD,NEAR-CAD,LINK-CAD,CRO-CAD,XLM-CAD,FLOW-CAD,VET-CAD
87,2014-12-13,472.4313696289063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.727455101013184,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,2014-12-14,478.21950439453127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.733452739715577,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,2014-12-15,469.66920166015626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.693060684204102,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,2014-12-16,444.8043359375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.100753574371338,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,2014-12-17,434.89536132812503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9987126541137696,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,2014-12-18,423.4985546875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.815575046539307,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,2014-12-19,432.2664624023438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9019897460937503,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,2014-12-20,448.74015136718754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9760687065124514,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,2014-12-21,436.3464624023438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.876530342102051,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,2014-12-22,451.36494140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9246745491027837,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,2014-12-23,455.0179077148438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.919465484619141,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,2014-12-24,438.64623535156255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7241422653198244,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,2014-12-25,433.85087402343754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.671252021789551,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,2014-12-26,445.97665527343753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.783098239898682,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,2014-12-27,429.57368896484377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6950519180297854,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,2014-12-28,431.44505859375005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7169345283508304,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,2014-12-29,425.23121826171877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.664955101013184,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,2014-12-30,422.6023193359375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.67745361328125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,2014-12-31,435.462470703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.697744808197022,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,2015-01-01,427.3786303710938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.670707931518555,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,2015-01-02,428.4435375976563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6276096916198735,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,2015-01-03,382.2715209960938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9010977554321293,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,2015-01-04,359.30520996093753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6610848808288576,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,2015-01-05,373.28463867187503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.831764831542969,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,2015-01-06,389.2170336914063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8724830818176272,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,2015-01-07,400.2983276367188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.880724849700928,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,2015-01-08,385.354638671875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7309751892089844,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,2015-01-09,394.9548657226563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.69736967086792,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,2015-01-10,373.72254638671876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.248515138626099,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,2015-01-11,361.29760498046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3454016304016116,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,2015-01-12,364.2025463867188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3313527202606203,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,2015-01-13,307.1709497070313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0959232711791995,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,2015-01-14,242.22007568359376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5735335445404053,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,2015-01-15,285.38783203125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7445672512054444,0.0,0.0,0.0,0.0,0.0,0.0,0.0
